Table Name,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
form_definitions,modern form system,,"Stores form definitions as JSON schemas. Each form has a type (contact, opportunity), level (base, type, category, specialized), and can be associated with organizations and departments.",,"form_definitions_category_id_fkey: category_id → form_categories.id
form_definitions_created_by_fkey: created_by → users.id
form_definitions_department_id_fkey: department_id → departments.id
form_definitions_entity_type_id_fkey: entity_type_id → entity_types.id
form_definitions_organization_id_fkey: organization_id → organizations.id","idx_form_definitions_category, idx_form_definitions_subtype, idx_form_definitions_entity_type, form_definitions_pkey","CHECK (((form_level)::text = ANY ((ARRAY['BASE'::character varying, 'TYPE'::character varying, 'CATEGORY'::character varying, 'SPECIALIZED'::character varying])::text[]))), CHECK (form_level IS NOT NULL), CHECK (form_schema IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (version IS NOT NULL), FOREIGN KEY (category_id) REFERENCES form_categories(id), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (department_id) REFERENCES departments(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (organization_id) REFERENCES organizations(id), PRIMARY KEY (id), NOT NULL (form_level), NOT NULL (form_schema), NOT NULL (name)",,,,,,,,
form_draft_states,forms,,,,"form_draft_states_editor_user_id_fkey: editor_user_id → users.id
form_draft_states_form_definition_id_fkey: form_definition_id → form_definitions.id","form_draft_states_pkey, idx_form_drafts_form, idx_form_drafts_user","CHECK (draft_state IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (editor_user_id) REFERENCES users(id), FOREIGN KEY (form_definition_id) REFERENCES form_definitions(id), PRIMARY KEY (id), NOT NULL (draft_state)",,,,,,,,
form_versions,modern form system,forms,"Maintains version history for form definitions, allowing you to track changes over time and ensure backward compatibility.",,"form_versions_created_by_fkey: created_by → users.id
form_versions_form_definition_id_fkey: form_definition_id → form_definitions.id","form_versions_pkey, idx_form_versions_unique","CHECK (form_schema IS NOT NULL), CHECK (id IS NOT NULL), CHECK (version IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (form_definition_id) REFERENCES form_definitions(id), PRIMARY KEY (id), NOT NULL (form_schema), NOT NULL (version)",,,,,,,,
geographic_zones,geo spacial entities,workflows,best suited for multi location customers - you can filter your drives by your created zones,no - release with salesBlanket v1.1,null,geographic_zones_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
goal_types,identification,goals,"Defines different types of goals that can be set in the salesBlanket application, supporting performance tracking and management objectives for sales teams.",,null,goal_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
group_members,hierarchy,build groups for zones,integrated for zones ,no,null,group_members_pkey,"CHECK (group_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (user_id IS NOT NULL), PRIMARY KEY (id), NOT NULL (group_id), NOT NULL (id), NOT NULL (user_id)",,,,,,,,
group_views,view access,permissions,supposed to help with zone views,no,null,group_views_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
groups,parental entity,,,,null,groups_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id), NOT NULL (id)",,,,,,,,
item_type_components,components,sales engine,"Maps which components are available for different sales engine item types, supporting configurable product/service definitions.",no,"item_type_components_component_id_fkey: component_id → estimate_components.id
item_type_components_item_type_id_fkey: item_type_id → sales_engine_item_types.id","item_type_components_item_type_id_component_id_key, item_type_components_pkey","CHECK (component_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (item_type_id IS NOT NULL), FOREIGN KEY (component_id) REFERENCES estimate_components(id), FOREIGN KEY (item_type_id) REFERENCES sales_engine_item_types(id), PRIMARY KEY (id), UNIQUE (component_id), UNIQUE (item_type_id), NOT NULL (component_id), NOT NULL (item_type_id)",,,,,,,,
item_type_forms,modern form system,sales engine integration,"Associates specific form definitions with sales engine item types, determining which forms are used for configuring different product/service types.",no,item_type_forms_item_type_id_fkey: item_type_id → sales_engine_item_types.id,"item_type_forms_pkey, item_type_forms_item_type_id_form_definition_id_key","CHECK (form_definition_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (item_type_id IS NOT NULL), FOREIGN KEY (item_type_id) REFERENCES sales_engine_item_types(id), PRIMARY KEY (id), UNIQUE (form_definition_id), UNIQUE (item_type_id), NOT NULL (form_definition_id), NOT NULL (item_type_id)",,,,,,,,
labor_entries,components,estimate/financial items - dynamic,labor pricing,no,labor_entries_item_id_fkey: item_id → sales_engine_items.id,labor_entries_pkey,"CHECK (created_at IS NOT NULL), CHECK (date IS NOT NULL), CHECK (hours IS NOT NULL), CHECK (id IS NOT NULL), CHECK (rate IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (item_id) REFERENCES sales_engine_items(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (date), NOT NULL (hours), NOT NULL (id), NOT NULL (rate), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
lead_assignment_rules,view access,permissions,team assignment - shared rules - allowing viewership of data of certain levels,yes,null,lead_assignment_rules_pkey,"CHECK (created_at IS NOT NULL), CHECK (criteria IS NOT NULL), CHECK (id IS NOT NULL), CHECK (priority IS NOT NULL), CHECK (rule_name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (criteria), NOT NULL (id), NOT NULL (rule_name), NOT NULL (updated_at)",,,,,,,,
lead_processing_history,tracking,,,,lead_processing_history_lead_id_fkey: lead_id → lead_staging.id,lead_processing_history_pkey,"CHECK (action IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (performed_by IS NOT NULL), FOREIGN KEY (lead_id) REFERENCES lead_staging(id), PRIMARY KEY (id), NOT NULL (action), NOT NULL (created_at), NOT NULL (id), NOT NULL (performed_by)",,,,,,,,
lead_staging,management,,Temporarily stores incoming lead data before processing and conversion to contacts/opportunities.,,null,lead_staging_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (lead_data IS NOT NULL), CHECK (source IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (lead_data), NOT NULL (source), NOT NULL (updated_at)",,,,,,,,
lead_tags,identification,marketing,"Provides a way to categorize and organize leads with tags, allowing for better segmentation and targeting in the salesBlanket application.",,lead_tags_lead_id_fkey: lead_id → lead_staging.id,"lead_tags_lead_id_tag_key, lead_tags_pkey","CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (tag IS NOT NULL), FOREIGN KEY (lead_id) REFERENCES lead_staging(id), PRIMARY KEY (id), UNIQUE (lead_id), UNIQUE (tag), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (tag)",,,,,,,,
location_departments,joining table,,"Associates locations with departments, defining which departments operate in which locations.",,null,location_departments_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
location_documentation,joining table,organizational,"Stores documentation specific to locations, such as permits, zoning information, etc.",,null,location_documentation_pkey,"CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), PRIMARY KEY (id), NOT NULL (title)",,,,,,,,
location_drives,joining table,,"Maps sales drives to specific geographic locations, allowing location-specific sales processes.",,null,location_drives_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
location_goals,joining table,,"Stores performance goals specific to locations, supporting regional target tracking.",,null,location_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,,,,,,,
location_settings,settings,settings,settings,no,null,location_settings_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
location_types,identification,organizational,"Categorizes different types of locations that can be associated with addresses, helping to segment and target specific property types in salesBlanket.",,null,location_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
location_users,employees,funnel employees by locations,user assignment if you have multiple locations it is needed,yes - probably second release,location_users_location_id_fkey: location_id → locations.id,location_users_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (location_id) REFERENCES locations(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
locations,organizational,you can write more than one location - stays with the same dataset,,yes,"locations_corporate_id_fkey: corporate_id → corporate.id
locations_parent_location_id_fkey: parent_location_id → locations.id",locations_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (corporate_id) REFERENCES corporate(id), FOREIGN KEY (parent_location_id) REFERENCES locations(id), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
marketer_seo_tracking,tracking,marketing,,,marketer_seo_tracking_marketer_id_fkey: marketer_id → marketers.id,marketer_seo_tracking_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (page_url IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (marketer_id) REFERENCES marketers(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (page_url), NOT NULL (updated_at)",,,,,,,,
marketers,parental entity,,,,null,marketers_pkey,"CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
metadata_field_permissions,permissions,JSON paths,Controls access to specific paths within metadata JSON fields for granular security,yes,metadata_field_permissions_role_id_fkey: role_id → roles.id,"metadata_field_permissions_pkey, idx_metadata_perm_unique","CHECK (id IS NOT NULL), CHECK (json_path IS NOT NULL), CHECK (permission_type IS NOT NULL), CHECK (table_name IS NOT NULL), FOREIGN KEY (role_id) REFERENCES roles(id), PRIMARY KEY (id), NOT NULL (json_path), NOT NULL (permission_type), NOT NULL (table_name)",,permission configuration,,,permission cache update,cascade delete when role is deleted,,
neighborhood_goals,tracking,neighborhoods,,,null,neighborhood_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,,,,,,,
neighborhood_streets,joining table,,"Maps streets to neighborhoods, establishing the geographic hierarchy for address management.",,null,neighborhood_streets_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
neighborhoods,geo spacial entities,organizational,create collections of streets and catogorize them as a neighborhood.  you can assign a team to the neighborhood,yes,null,neighborhoods_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
notification_channels,communications,app notifications for users ,"notification for events, assignments, workflows, when deals close with salesman and when deals are completed and paid",maybe,null,notification_channels_pkey,"CHECK (channel_type IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (channel_type), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
notification_rules,rules,,,,null,notification_rules_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (event_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (event_type), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
notification_settings,settings,settings,settings,no,notification_settings_channel_id_fkey: channel_id → notification_channels.id,notification_settings_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (notification_type IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (channel_id) REFERENCES notification_channels(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (notification_type), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
notification_types,identification,notifations,"Defines different notification types that can be sent to users, supporting the communication system within salesBlanket.",,null,notification_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
notifications,entities,communications,notification records for trigger stored here ,yes,null,"idx_notifications_user_read, notifications_pkey, idx_notifications_created_at","CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
object_components,components,estimate/financial items - dynamic,ability to craft dynamic documents,no,"object_components_object_id_fkey: object_id → objects.id
object_components_parent_component_id_fkey: parent_component_id → object_components.id",object_components_pkey,"CHECK (component_type IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (object_id) REFERENCES objects(id), FOREIGN KEY (parent_component_id) REFERENCES object_components(id), PRIMARY KEY (id), NOT NULL (component_type), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
object_media,components,"photos, videos, documents for dynamic documents","add photo pages, line items, block estimates",no,"object_media_component_id_fkey: component_id → object_components.id
object_media_object_id_fkey: object_id → objects.id",object_media_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (media_type IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (component_id) REFERENCES object_components(id), FOREIGN KEY (object_id) REFERENCES objects(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (media_type), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
object_types,identifications,estimate/financial items - dynamic,"Provides a general-purpose type system for objects that don't fit into other specific categories, offering flexibility within the salesBlanket application.",,null,object_types_pkey,"CHECK (created_at IS NOT NULL), CHECK (domain IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (domain), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
objects,entities,sale items - dynamic,"estimates, contracts",no,objects_object_type_id_fkey: object_type_id → object_types.id,objects_pkey,"CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (object_type_id) REFERENCES object_types(id), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
operations_user,lea,,"Defines users who have operations-level permissions, potentially with extended attributes.",,null,operations_users_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (role IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (role), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
opportunities,entities,"appointments, contracts",workflow entity that has a few different configurations,yes,opportunities_collection_id_fkey: collection_id → collections.id,opportunities_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), PRIMARY KEY (id)",,,,,,,,
opportunity_contacts,joining tables,,"Creates many-to-many relationships between opportunities and contacts, defining which contacts are involved with which opportunities.",,null,opportunity_contacts_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
opportunity_type_work_types,opportunities,opportunities,"Maps opportunity types to work types, allowing you to associate specific work types with different opportunity types.",,"opportunity_type_work_types_opportunity_type_id_fkey: opportunity_type_id → opportunity_types.id
opportunity_type_work_types_work_type_id_fkey: work_type_id → work_types.id","idx_opp_work_types_unique, opportunity_type_work_types_pkey","CHECK (id IS NOT NULL), FOREIGN KEY (opportunity_type_id) REFERENCES opportunity_types(id), FOREIGN KEY (work_type_id) REFERENCES work_types(id), PRIMARY KEY (id)",,,,,,,,
opportunity_types,identifications,organizational,"Defines different types of sales opportunities in the system, crucial for the dynamic form system in salesBlanket where opportunity forms change based on type selection (roofing, siding, solar, etc.).",,null,opportunity_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
organizations,organizational,,"Represents top-level organizations that can have their own departments, users, and form definitions.",,null,organizations_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
permissions,permissions,,,,null,permissions_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
pulse,containers,workflows,organizes the salesPulse component,yes,pulse_entity_type_id_fkey: entity_type_id → entity_types.id,entity_card_pulse_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id)",,,,,,,,
pulse_ai,communications,artificial intelligence,future dev. ,no,pulse_ai_pulse_id_fkey: pulse_id → pulse.id,entity_card_pulse_gemini_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
pulse_calendar,communications,sales management,current offering google calendar integration,yes,pulse_calendar_pulse_id_fkey: pulse_id → pulse.id,entity_card_pulse_calendar_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
pulse_email_attachments,data,"photos, documents",handles incoming photos ,maybe,pulse_email_attachments_email_id_fkey: email_id → pulse_mail.id,"entity_card_pulse_email_attachments_photo_idx, entity_card_pulse_email_attachments_entity_idx, entity_card_pulse_email_attachments_email_idx, entity_card_pulse_email_attachments_pkey","CHECK (created_at IS NOT NULL), CHECK (file_name IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (email_id) REFERENCES pulse_mail(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (file_name), NOT NULL (id), NOT NULL (updated_at)",,,,,,,,
pulse_external_users,communications,external,future dev. ,no,null,"entity_card_pulse_external_users_email_idx, entity_card_pulse_external_users_email_key, entity_card_pulse_external_users_pkey, entity_card_pulse_external_users_status_idx","CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (email IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), UNIQUE (email), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (email), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
pulse_lead_referrals,communications,referral tracking,simple outgoing email updates when a referral signs a contract and when a referral is paid and closed,yes,pulse_lead_referrals_external_user_id_fkey: external_user_id → pulse_external_users.id,"entity_card_pulse_lead_referrals_status_idx, entity_card_pulse_lead_referrals_opportunity_idx, entity_card_pulse_lead_referrals_external_user_idx, entity_card_pulse_lead_referrals_pkey","CHECK (created_at IS NOT NULL), CHECK (external_user_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (external_user_id) REFERENCES pulse_external_users(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (external_user_id), NOT NULL (id), NOT NULL (updated_at)",,,,,,,,
pulse_mail,communications,sales management,"shortcut to the pulse email component as a one off, instead of getting the whole collection on the collection",yes,pulse_mail_pulse_id_fkey: pulse_id → pulse.id,"entity_card_pulse_gmail_pkey, idx_pulse_mail_metadata","CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
pulse_message_read_status,tracking,messages,,,pulse_message_read_status_last_read_message_id_fkey: last_read_message_id → pulse_messages.id,"entity_card_pulse_message_read_status_pkey, entity_card_pulse_read_collection_user_idx, entity_card_pulse_message_read_status_collection_id_user_id_key","CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (last_read_message_id) REFERENCES pulse_messages(id), PRIMARY KEY (id), UNIQUE (collection_id), UNIQUE (user_id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (id), NOT NULL (updated_at), NOT NULL (user_id)",,,,,,,,
pulse_messages,communications,sales management,yes,yes,null,"entity_card_pulse_messages_visibility_idx, entity_card_pulse_messages_entity_idx, entity_card_pulse_messages_sender_idx, entity_card_pulse_messages_collection_idx, entity_card_pulse_messages_pkey","CHECK (collection_id IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (message_text IS NOT NULL), CHECK (sender_id IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (collection_id), NOT NULL (created_at), NOT NULL (id), NOT NULL (message_text), NOT NULL (sender_id), NOT NULL (updated_at)",,,,,,,,
pulse_notebook,communications,sales management,"save a tree, write on bytes",no,pulse_notebook_pulse_id_fkey: pulse_id → pulse.id,entity_card_pulse_notebook_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
pulse_photo_annotations,data,editing,edit photos with salesPhotos,no - we offer mobile links with company cam.  potentially the third release of beta.  late 2025.,pulse_photo_annotations_photo_id_fkey: photo_id → pulse_photos.id,"entity_card_pulse_photo_annotations_pkey, entity_card_pulse_photo_annotations_photo_idx","CHECK (annotation_type IS NOT NULL), CHECK (coordinates IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (photo_id IS NOT NULL), CHECK (updated_at IS NOT NULL), FOREIGN KEY (photo_id) REFERENCES pulse_photos(id), PRIMARY KEY (id), NOT NULL (annotation_type), NOT NULL (coordinates), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (photo_id), NOT NULL (updated_at)",,,,,,,,
pulse_photos,data,photos,ability to load photos into the salesBlanket app - data stored in google drive.,yes - i believe we can integrate this with company cam - we can trigger the company cam creation base on a touchpoint or a drive on the track.,null,"entity_card_pulse_photos_pkey, entity_card_pulse_photos_entity_idx, entity_card_pulse_photos_created_by_idx, entity_card_pulse_photos_visibility_idx","CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (drive_file_id IS NOT NULL), CHECK (entity_id IS NOT NULL), CHECK (entity_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (drive_file_id), NOT NULL (entity_id), NOT NULL (entity_type), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
pulse_referral_status_history,tracking,referrals,,,pulse_referral_status_history_referral_id_fkey: referral_id → pulse_lead_referrals.id,"entity_card_pulse_referral_status_history_pkey, entity_card_pulse_referral_history_idx","CHECK (changed_by IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (new_status IS NOT NULL), CHECK (referral_id IS NOT NULL), FOREIGN KEY (referral_id) REFERENCES pulse_lead_referrals(id), PRIMARY KEY (id), NOT NULL (changed_by), NOT NULL (created_at), NOT NULL (id), NOT NULL (new_status), NOT NULL (referral_id)",,,,,,,,
pulse_role_levels,view access,system config,preset access on web app load,yes,null,entity_card_pulse_role_levels_pkey,"CHECK (access_level IS NOT NULL), CHECK (role IS NOT NULL), PRIMARY KEY (role), NOT NULL (access_level), NOT NULL (role)",,,,,,,,
pulse_storage,data,documents,"connection with google drive is offered - you can store documents - a folder is created in your google drive, we use the drive ",yes,pulse_storage_pulse_id_fkey: pulse_id → pulse.id,entity_card_pulse_drive_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
pulse_tasks,organizational,tasks,we will have a native integration with google tasks in the beta trial,yes,pulse_tasks_pulse_id_fkey: pulse_id → pulse.id,entity_card_pulse_tasks_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
pulse_text,communications,SMS,Enables SMS messaging integration with Twilio for customer communications based on events and workflows,no,"pulse_text_collection_id_fkey: collection_id → collections.id
pulse_text_contact_id_fkey: contact_id → contacts.id
pulse_text_created_by_fkey: created_by → users.id
pulse_text_template_id_fkey: template_id → communication_templates.id",pulse_text_pkey,"CHECK (id IS NOT NULL), CHECK (message_content IS NOT NULL), CHECK (phone_number IS NOT NULL), FOREIGN KEY (collection_id) REFERENCES collections(id), FOREIGN KEY (contact_id) REFERENCES contacts(id), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (template_id) REFERENCES communication_templates(id), PRIMARY KEY (id), NOT NULL (message_content), NOT NULL (phone_number)",,user action or automated event,,,send SMS via Twilio,no delete - maintain communication record,,
pulse_virtual_sales,communications,sales management,offering integration with google meets on beta,yes but not on launch,pulse_virtual_sales_pulse_id_fkey: pulse_id → pulse.id,entity_card_pulse_meet_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (pulse_id) REFERENCES pulse(id), PRIMARY KEY (id)",,,,,,,,
role_goals,goals,sales management,we will run simple canvassing goals,yes,null,role_goals_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
role_permissions,permissions,,,,null,role_permissions_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
role_settings,settings,settings,settings,no,null,role_settings_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
role_views,view access,system config,roles set your view on login,yes,null,role_views_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
roles,organizational,,Defines user roles for permission management in the system.,,roles_created_by_fkey: created_by → users.id,"idx_role_name, roles_pkey","CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (permissions IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
